TreeDepth,Pid,Process,Base,InLoad,InInit,InMem,MappedPath
0,308,smss.exe,0x8370c80000,False,False,False,N/A
0,308,smss.exe,0x7ff764300000,False,False,False,\\Windows\\System32\\smss.exe
0,420,csrss.exe,0x7ff7e7930000,False,False,False,\\Windows\\System32\\csrss.exe
0,496,wininit.exe,0x7ff7c3f50000,False,False,False,\\Windows\\System32\\wininit.exe
0,504,csrss.exe,0x7ff7e7930000,False,False,False,\\Windows\\System32\\csrss.exe
0,636,services.exe,0x7ff7ea850000,True,False,True,\\Windows\\System32\\services.exe
0,636,services.exe,0x22d21170000,False,False,False,\\Windows\\System32\\en-US\\services.exe.mui
0,764,svchost.exe,0x7ffed40d0000,True,True,True,\\Windows\\System32\\TaskSchdPS.dll
0,764,svchost.exe,0x7ffee4670000,True,True,True,\\Windows\\System32\\AppXDeploymentClient.dll
0,764,svchost.exe,0x7ffeeb310000,True,True,True,\\Windows\\System32\\combase.dll
0,764,svchost.exe,0x7ffeec500000,True,True,True,\\Windows\\System32\\oleaut32.dll
0,764,svchost.exe,0x7ffeecad0000,True,True,True,\\Windows\\System32\\ntdll.dll
0,884,svchost.exe,0x1f62f340000,False,False,False,\\Windows\\System32\\en-US\\KernelBase.dll.mui
0,884,svchost.exe,0x7ffeeb310000,True,True,True,\\Windows\\System32\\combase.dll
0,968,dwm.exe,0x7ffeecad0000,True,True,True,\\Windows\\System32\\ntdll.dll
0,360,svchost.exe,0x255f5570000,False,False,False,\\Windows\\System32\\en-US\\svchost.exe.mui
0,360,svchost.exe,0x255f8a00000,False,False,False,\\Windows\\System32\\en-US\\KernelBase.dll.mui
0,360,svchost.exe,0x255faac0000,False,False,False,\\Windows\\System32\\en-US\\Windows.Web.dll.mui
0,360,svchost.exe,0x255faaf0000,False,False,False,\\Windows\\System32\\msxml6r.dll
0,360,svchost.exe,0x255fab20000,False,False,False,\\Windows\\System32\\en-US\\netmsg.dll.mui
0,360,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,360,svchost.exe,0x7ffeaac30000,True,True,True,\\Windows\\System32\\wosc.dll
0,360,svchost.exe,0x7ffeaab80000,True,True,True,\\Windows\\System32\\fcon.dll
0,360,svchost.exe,0x7ffecc140000,True,True,True,\\Windows\\System32\\msxml6.dll
0,360,svchost.exe,0x7ffec9350000,True,True,True,\\Windows\\System32\\Windows.Web.dll
0,360,svchost.exe,0x7ffec6710000,True,True,True,\\Windows\\System32\\FlightSettings.dll
0,360,svchost.exe,0x7ffecb630000,True,True,True,\\Windows\\System32\\Clipc.dll
0,360,svchost.exe,0x7ffec94c0000,True,True,True,N/A
