TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,4,0,System,0xe3861205c040,131,-,N/A,False,2026-03-26 21:21:10.000000 UTC,N/A,Disabled
0,92,4,Registry,0xe386120d7080,4,-,N/A,False,2026-03-26 21:21:04.000000 UTC,N/A,Disabled
0,308,4,smss.exe,0xe3861519d040,2,-,N/A,False,2026-03-26 21:21:10.000000 UTC,N/A,Disabled
0,420,412,csrss.exe,0xe386154dc140,10,-,0,False,2026-03-26 21:21:12.000000 UTC,N/A,Disabled
0,496,412,wininit.exe,0xe38615f97140,1,-,0,False,2026-03-26 21:21:12.000000 UTC,N/A,Disabled
0,504,488,csrss.exe,0xe3861600f080,12,-,1,False,2026-03-26 21:21:12.000000 UTC,N/A,Disabled
0,564,488,winlogon.exe,0xe3861604f080,7,-,1,False,2026-03-26 21:21:12.000000 UTC,N/A,Disabled
0,636,496,services.exe,0xe38616075080,5,-,0,False,2026-03-26 21:21:13.000000 UTC,N/A,Disabled
0,660,496,lsass.exe,0xe38616088080,8,-,0,False,2026-03-26 21:21:13.000000 UTC,N/A,Disabled
0,764,636,svchost.exe,0xe3861610f240,20,-,0,False,2026-03-26 21:21:13.000000 UTC,N/A,Disabled
0,792,496,fontdrvhost.ex,0xe3861611b140,5,-,0,False,2026-03-26 21:21:13.000000 UTC,N/A,Disabled
0,796,564,fontdrvhost.ex,0xe38616119140,5,-,1,False,2026-03-26 21:21:13.000000 UTC,N/A,Disabled
0,884,636,svchost.exe,0xe386161492c0,9,-,0,False,2026-03-26 21:21:13.000000 UTC,N/A,Disabled
0,968,564,dwm.exe,0xe386161d4300,14,-,1,False,2026-03-26 21:21:13.000000 UTC,N/A,Disabled
0,360,636,svchost.exe,0xe386168a9240,43,-,0,False,2026-03-26 21:21:14.000000 UTC,N/A,Disabled
0,680,636,svchost.exe,0xe386168b9280,16,-,0,False,2026-03-26 21:21:14.000000 UTC,N/A,Disabled
0,1044,636,svchost.exe,0xe386169182c0,13,-,0,False,2026-03-26 21:21:14.000000 UTC,N/A,Disabled
0,1052,636,svchost.exe,0xe3861691a300,15,-,0,False,2026-03-26 21:21:14.000000 UTC,N/A,Disabled
0,1196,636,svchost.exe,0xe3861698a2c0,22,-,0,False,2026-03-26 21:21:14.000000 UTC,N/A,Disabled
0,1328,4,MemCompression,0xe38616a0e040,22,-,N/A,False,2026-03-26 21:21:14.000000 UTC,N/A,Disabled
0,1392,636,svchost.exe,0xe38616a04080,15,-,0,False,2026-03-26 21:21:14.000000 UTC,N/A,Disabled
0,1536,636,svchost.exe,0xe38616b32080,9,-,0,False,2026-03-26 21:21:14.000000 UTC,N/A,Disabled
0,1676,636,svchost.exe,0xe38616bb3300,3,-,0,False,2026-03-26 21:21:14.000000 UTC,N/A,Disabled
0,1700,636,svchost.exe,0xe3861212b080,4,-,0,False,2026-03-26 21:21:14.000000 UTC,N/A,Disabled
0,1708,636,svchost.exe,0xe3861212f080,5,-,0,False,2026-03-26 21:21:14.000000 UTC,N/A,Disabled
0,1820,636,spoolsv.exe,0xe386120a4080,7,-,0,False,2026-03-26 21:21:14.000000 UTC,N/A,Disabled
0,1880,636,svchost.exe,0xe38616c7b0c0,11,-,0,False,2026-03-26 21:21:15.000000 UTC,N/A,Disabled
0,1992,636,svchost.exe,0xe38616c80080,2,-,0,False,2026-03-26 21:21:15.000000 UTC,N/A,Disabled
0,2012,636,svchost.exe,0xe38616c832c0,5,-,0,False,2026-03-26 21:21:15.000000 UTC,N/A,Disabled
0,2080,636,svchost.exe,0xe38616e43300,3,-,0,False,2026-03-26 21:21:15.000000 UTC,N/A,Disabled
0,2192,636,svchost.exe,0xe38616edb240,1,-,0,False,2026-03-26 21:21:15.000000 UTC,N/A,Disabled
0,2264,636,vmtoolsd.exe,0xe38616f04280,11,-,0,False,2026-03-26 21:21:15.000000 UTC,N/A,Disabled
0,2272,636,VGAuthService.,0xe38616f0b300,2,-,0,False,2026-03-26 21:21:15.000000 UTC,N/A,Disabled
0,2280,636,vm3dservice.ex,0xe38616f0d2c0,3,-,0,False,2026-03-26 21:21:15.000000 UTC,N/A,Disabled
0,2320,636,MsMpEng.exe,0xe38616ef6080,6,-,0,False,2026-03-26 21:21:15.000000 UTC,N/A,Disabled
0,2364,636,Sysmon64.exe,0xe38616f73200,15,-,0,False,2026-03-26 21:21:16.000000 UTC,N/A,Disabled
0,2460,2280,vm3dservice.ex,0xe38616d262c0,4,-,1,False,2026-03-26 21:21:16.000000 UTC,N/A,Disabled
0,2764,636,dllhost.exe,0xe38617075080,10,-,0,False,2026-03-26 21:21:16.000000 UTC,N/A,Disabled
0,2968,636,msdtc.exe,0xe3861722f080,9,-,0,False,2026-03-26 21:21:17.000000 UTC,N/A,Disabled
0,2200,764,unsecapp.exe,0xe386172c8280,3,-,0,False,2026-03-26 21:21:18.000000 UTC,N/A,Disabled
0,2616,764,WmiPrvSE.exe,0xe386172e4280,13,-,0,False,2026-03-26 21:21:18.000000 UTC,N/A,Disabled
0,3220,360,sihost.exe,0xe38612182080,12,-,1,False,2026-03-26 21:21:20.000000 UTC,N/A,Disabled
0,3268,636,svchost.exe,0xe3861748f300,6,-,1,False,2026-03-26 21:21:20.000000 UTC,N/A,Disabled
0,3328,360,MicrosoftEdgeU,0xe38617425300,4,-,0,True,2026-03-26 21:21:20.000000 UTC,N/A,Disabled
0,3336,360,taskhostw.exe,0xe38617427300,7,-,1,False,2026-03-26 21:21:20.000000 UTC,N/A,Disabled
