TreeDepth,Pid,Process,Base,InLoad,InInit,InMem,MappedPath
0,636,services.exe,0x7ff7ea850000,True,False,True,\\Windows\\System32\\services.exe
0,636,services.exe,0x22d21170000,False,False,False,\\Windows\\System32\\en-US\\services.exe.mui
0,660,lsass.exe,0x7ff68a6f0000,True,False,True,\\Windows\\System32\\lsass.exe
0,660,lsass.exe,0x7ffed5160000,True,True,True,\\Windows\\System32\\ncryptprov.dll
0,660,lsass.exe,0x7ffeeb670000,True,True,True,\\Windows\\System32\\kernel32.dll
0,660,lsass.exe,0x7ffeeaab0000,True,True,True,\\Windows\\System32\\bcryptprimitives.dll
0,660,lsass.exe,0x7ffeeaff0000,True,True,True,\\Windows\\System32\\user32.dll
0,660,lsass.exe,0x7ffeec730000,True,True,True,\\Windows\\System32\\gdi32.dll
0,660,lsass.exe,0x7ffeecad0000,True,True,True,N/A
0,764,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,764,svchost.exe,0x7ffee92c0000,True,True,True,\\Windows\\System32\\rsaenh.dll
0,764,svchost.exe,0x7ffeeaab0000,True,True,True,\\Windows\\System32\\bcryptprimitives.dll
0,764,svchost.exe,0x7ffeecad0000,True,True,True,N/A
0,360,svchost.exe,0x255f8a00000,False,False,False,\\Windows\\System32\\en-US\\KernelBase.dll.mui
0,360,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,360,svchost.exe,0x7ffed6c40000,True,True,True,\\Windows\\System32\\Windows.CloudStore.dll
0,360,svchost.exe,0x7ffed94a0000,True,True,True,\\Windows\\System32\\wbem\\wbemcore.dll
0,360,svchost.exe,0x7ffee5890000,True,True,True,\\Windows\\System32\\profsvc.dll
0,360,svchost.exe,0x7ffeea570000,True,True,True,N/A
0,360,svchost.exe,0x7ffeeb310000,True,True,True,\\Windows\\System32\\combase.dll
0,360,svchost.exe,0x7ffeec500000,True,True,True,\\Windows\\System32\\oleaut32.dll
0,1052,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,1052,svchost.exe,0x7ffeeaab0000,True,True,True,\\Windows\\System32\\bcryptprimitives.dll
0,1196,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,1708,svchost.exe,0x7ffeea210000,True,True,True,\\Windows\\System32\\msvcp_win.dll
0,1708,svchost.exe,0x7ffeda1c0000,True,True,True,\\Windows\\System32\\Windows.Networking.dll
0,1708,svchost.exe,0x7ffedd7f0000,True,True,True,\\Windows\\System32\\AudioSes.dll
0,1708,svchost.exe,0x7ffee4b40000,True,True,True,\\Windows\\System32\\policymanager.dll
0,1708,svchost.exe,0x7ffede760000,True,True,True,\\Windows\\System32\\CapabilityAccessManagerClient.dll
0,1708,svchost.exe,0x7ffede5e0000,True,True,True,\\Windows\\System32\\Windows.Networking.HostName.dll
0,1708,svchost.exe,0x7ffede8a0000,True,True,True,\\Windows\\System32\\CapabilityAccessHandlers.dll
0,1708,svchost.exe,0x7ffeded60000,True,True,True,\\Windows\\System32\\wifidatacapabilityhandler.dll
0,1708,svchost.exe,0x7ffee40c0000,True,True,True,\\Windows\\System32\\MMDevAPI.dll
0,1708,svchost.exe,0x7ffee8180000,True,True,True,\\Windows\\System32\\kernel.appcore.dll
0,1708,svchost.exe,0x7ffee5ca0000,True,True,True,\\Windows\\System32\\cellulardatacapabilityhandler.dll
0,1708,svchost.exe,0x7ffee6d10000,True,True,True,\\Windows\\System32\\WinTypes.dll
0,1708,svchost.exe,0x7ffee8eb0000,True,True,True,\\Windows\\System32\\FirewallAPI.dll
0,1708,svchost.exe,0x7ffee8e50000,True,True,True,\\Windows\\System32\\fwbase.dll
0,1708,svchost.exe,0x7ffee9660000,True,True,True,\\Windows\\System32\\dnsapi.dll
0,1708,svchost.exe,0x7ffee9620000,True,True,True,\\Windows\\System32\\IPHLPAPI.DLL
0,1708,svchost.exe,0x7ffeea050000,True,True,True,\\Windows\\System32\\umpdc.dll
0,1708,svchost.exe,0x7ffee9ef0000,True,True,True,\\Windows\\System32\\devobj.dll
0,1708,svchost.exe,0x7ffeea070000,True,True,True,\\Windows\\System32\\powrprof.dll
0,1708,svchost.exe,0x7ffeeade0000,True,True,True,\\Windows\\System32\\rpcrt4.dll
0,1708,svchost.exe,0x7ffeea570000,True,True,True,N/A
0,1708,svchost.exe,0x7ffeea3c0000,True,True,True,N/A
0,1708,svchost.exe,0x7ffeea4f0000,True,True,True,N/A
0,1708,svchost.exe,0x7ffeeb670000,True,True,True,\\Windows\\System32\\kernel32.dll
0,1708,svchost.exe,0x7ffeeb190000,True,True,True,\\Windows\\System32\\sechost.dll
0,1708,svchost.exe,0x7ffeeaf40000,True,True,True,\\Windows\\System32\\advapi32.dll
0,1708,svchost.exe,0x7ffeeb310000,True,True,True,\\Windows\\System32\\combase.dll
0,1708,svchost.exe,0x7ffeec760000,True,True,True,\\Windows\\System32\\msvcrt.dll
0,1708,svchost.exe,0x7ffeec5d0000,True,True,True,\\Windows\\System32\\ws2_32.dll
0,1708,svchost.exe,0x7ffeec500000,True,True,True,\\Windows\\System32\\oleaut32.dll
