TreeDepth,PID,Process,Offset,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,Parent,File,File output
0,4,System,0xffffe386128acf40,0x1676ff40000,0x1676ff40fff,Vad ,PAGE_READWRITE,0,0,0x0,N/A,Disabled
0,4,System,0xffffe38612075650,0x7ffe0000,0x7ffe0fff,VadS,PAGE_READONLY,1,1,0xffffe386128acf40,N/A,Disabled
0,4,System,0xffffe38612896740,0x773f0000,0x77592fff,Vad ,PAGE_EXECUTE_WRITECOPY,9,0,0xffffe38612075650,\\Windows\\SysWOW64\\ntdll.dll,Disabled
0,4,System,0xffffe38612075510,0x7ffeb000,0x7ffebfff,VadS,PAGE_READONLY,1,1,0xffffe38612075650,N/A,Disabled
0,4,System,0xffffe386128967e0,0x7ffeeca90000,0x7ffeecac1fff,Vad ,PAGE_EXECUTE_WRITECOPY,9,0,0xffffe386128acf40,\\Windows\\System32\\vertdll.dll,Disabled
0,4,System,0xffffe38612895d40,0x7ffeecad0000,0x7ffeeccc5fff,Vad ,PAGE_EXECUTE_WRITECOPY,16,0,0xffffe386128967e0,\\Windows\\System32\\ntdll.dll,Disabled
0,92,Registry,0xffffe38612899760,0x1abc7670000,0x1abc786ffff,Vad ,PAGE_READONLY,4,0,0x0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,92,Registry,0xffffe38612898180,0x1abc5670000,0x1abc586ffff,Vad ,PAGE_READONLY,3,0,0xffffe38612899760,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,92,Registry,0xffffe38612898ea0,0x1abc4670000,0x1abc486ffff,Vad ,PAGE_READONLY,10,0,0xffffe38612898180,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,92,Registry,0xffffe38612898f40,0x1abc3e70000,0x1abc406ffff,Vad ,PAGE_READONLY,13,0,0xffffe38612898ea0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,92,Registry,0xffffe38612898c20,0x1abc3de0000,0x1abc3e5ffff,Vad ,PAGE_READONLY,30,0,0xffffe38612898f40,\\Windows\\System32\\config\\DEFAULT,Disabled
0,92,Registry,0xffffe38612898540,0x1abc3dd0000,0x1abc3ddffff,Vad ,PAGE_READONLY,1,0,0xffffe38612898c20,\\Windows\\System32\\config\\SAM,Disabled
0,92,Registry,0xffffe38612898900,0x1abc3e60000,0x1abc3e6ffff,Vad ,PAGE_READONLY,0,0,0xffffe38612898c20,\\Windows\\System32\\config\\SECURITY,Disabled
0,92,Registry,0xffffe38612898400,0x1abc4270000,0x1abc446ffff,Vad ,PAGE_READONLY,32,0,0xffffe38612898f40,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,92,Registry,0xffffe38612897d20,0x1abc4070000,0x1abc426ffff,Vad ,PAGE_READONLY,2,0,0xffffe38612898400,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,92,Registry,0xffffe38612898720,0x1abc4470000,0x1abc466ffff,Vad ,PAGE_READONLY,4,0,0xffffe38612898400,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,92,Registry,0xffffe38612897f00,0x1abc4e70000,0x1abc506ffff,Vad ,PAGE_READONLY,33,0,0xffffe38612898ea0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,92,Registry,0xffffe38612899080,0x1abc4a70000,0x1abc4c6ffff,Vad ,PAGE_READONLY,32,0,0xffffe38612897f00,\\Windows\\System32\\config\\SOFTWARE,Disabled
